id;név;nemzetiség;születési hely;születési idő
97;Justin Joseph Doellman;USA;Cincinnati;1985-02-03
98;Pol Figueras López;ESP;Tarragona;1998-03-21
99;Richard Elmer Dorsey;USA;Baltimore (Maryland, EE.UU.);1983-12-16
100;Víctor Claver Arocas;ESP;Valencia;1988-08-30
101;Ante Tomic;HRV;Dubrovnik;1987-02-17
102;Marcus Per Eriksson;SWE;Uppsala;1993-12-05
103;Stratos Perperoglou;GRC;Drama (Grecia);1984-08-07
104;Georgios Bartzokas;GRC;Atenas;
105;Ramón Fernández Vidal;ESP;Santiago Compostela (A Coruna);
106;Francisco Javier Cárdenas Maldonado;ESP;Huelva;1990-10-03
107;Shayne Mitchell Whittington;USA;Paw Paw (Michigan);1991-03-27
108;Rosco Allen;HUN;Budapest, Hungría;1993-05-05
109;Santiago Yusta García;ESP;Madrid;1997-04-28
110;Richard Barton McConnell;USA;Mesa, Arizona (EE.UU.);1989-04-14
111;Osvaldas Matulionis;LTU;Siauliai;1991-08-19
112;Artem Pustovyi;UKR;Sofiivka;1992-06-25
113;Eimantas Bendzius;LTU;Klaipeda;1990-04-23
114;Alberto Díaz Ferreira;ESP;;1998-05-08
115;José Pozas Checa;ESP;Málaga;1992-05-14
116;Alberto Corbacho De la Cruz;ESP;Palma de Mallorca;1984-10-01
117;Adam Pechacek;CZE;Praga (República Checa);1995-02-19
118;Alfonso Alonso Blasco;ESP;Madrid;1975-12-04
119;Tornike Shengelia;GEO;Tbilisi;1991-10-05
120;Kim Tillie;FRA;Cagnes-sur-Mer;1988-07-15
121;Ilimane Diop Gaye;ESP;Dakar (Senegal);1995-04-04
122;Adam Hanga;HUN;Budapest;1989-04-12
123;Trevor Donald Cooney;USA;Wilmington (Delaware, EE.UU.);1992-08-01
124;Rafael Freire Luz;ESP;Araçatuba (Sao Paulo);1992-02-11
125;Johannes Voigtmann;DEU;Eisenach;1992-09-30
126;DeShane Larkin;USA;Cincinnati (Ohio, EE.UU.);1992-10-02
127;Andrea Bargnani;ITA;Roma (Italia);1985-10-26
128;Tadas Sedekerskis;LTU;Nida (Lituania);1998-01-17
129;Jaka Blazic;SVN;Jesenice (Eslovenia);1990-06-30
130;Ivan Paunic;SRB;Belgrado;1987-01-27
131;José Ramón Cuspinera Diéguez;ESP;Getxo (Vizcaya);1970-04-28
132;David Earl Wear Jr;USA;Long Beach (California);1990-09-21
133;José María González Calvo;ESP;Zaragoza;1991-08-15
134;Alejandro Llorca Castillo;ESP;Esplugues de Llobregat;1989-01-26
135;Marko Popovic;HRV;Zadar;1982-06-12
136;Rolands Smits;LVA;Valmiera;1995-06-25
137;Ian Joseph O'Leary;IRL;Woodlands Hills (California);1986-10-20
138;Cheikh Moussa Diagne;SEN;Guediawaye;1994-03-06
139;Ludvig Erik Hakanson;SWE;Matteus;1996-03-22
140;Blagota Sekulic;MNE;Podgorica;1982-03-14
141;Carlos Eduardo Cabezas Jurado;ESP;Málaga;1980-11-14
142;Francisco Cruz;MEX;Nogales;1989-10-03
143;Jonathan Beye Tabu Eboma;BEL;Kinshasa (Congo);1985-10-07
144;Carles Duran Ortega;ESP;Barcelona;1976-01-15
145;Danilo Nikolic;MNE;Podgorica;1993-04-08
146;Ivan Buva;HRV;Zagreb (Croacia);1991-05-06
147;Javier Salgado Martín;ESP;Bilbao;1980-08-06
148;Álex Mumbrú Murcia;ESP;Barcelona;1979-06-12
149;Tobias Carl Peter Borg;SWE;Södertälje (Suecia);1993-11-02
150;Micheal Oluwaseun Eric;NGA;Lagos (Nigeria);1988-06-24
151;Miha Lapornik;SVN;Celje;1993-10-18
152;Scott Douglas Bamforth;USA;Albuquerque;1989-08-12
153;Dejan Todorovic;SRB;Mrkonjic Grad;1994-05-29
154;Borja Mendia Sangroniz;ESP;Bilbao;1994-11-10
155;Axel Marie Gustave Hervelle;BEL;Lieja;1983-05-12
156;Óscar Quintana Viar;ESP;Torrelavega (Cantabria);
157;Sadiel Antonnio Lucciano Rojas;DOM;Wichita (Kansas), EE.UU.;1989-07-16
158;Marcos Delía;ITA;Saladillo;1992-04-08
159;Ovie Paul Soko;GBR;Londres;1991-02-07
160;William James Baron;USA;Altoona (Pennsylvania, EE.UU.);1990-12-11
161;Víctor Jesús Arteaga González;ESP;Cuenca;1992-07-07
162;Vitor Alves Benite;ITA;Sao Paulo;1990-02-20
163;José Francisco Ortega Soriano;ESP;Yecla;1997-08-13
164;Vitor Luiz Faverani Tatsch;ESP;Porto Alegre;1988-05-05
165;Martynas Pocius;LTU;Vilnius;1986-04-28
166;Facundo Campazzo;ARG;Córdoba;1991-03-23
167;José Ángel Antelo Paredes;ESP;Noia (A Coruna);1987-05-07
168;Pedro Llompart Usón;ESP;Mallorca;1982-01-09
169;Diego Iván Ocampo Vázquez;ESP;Orense;1976-01-09
170;Luka Lapornik;SVN;Celje (Eslovenia);1988-10-24
171;Garrett Stutz;USA;Kansas City, Missouri (EE.UU.);1990-10-02
172;Albert Sabat Vila;ESP;Llagostera, Girona;1985-08-23
173;Nenad Dimitrijevic;MKD;Skopje (Macedonia);1998-02-23
174;Albert Ventura Pedreno;ESP;Badalona;1992-04-07
175;Sarunas Vasiliauskas;LTU;Kaunas;1989-03-27
176;Tomasz Gielo;POL;Szczecin (Polonia);1993-01-04
177;Terrence Christoffel Bieshaar;NLD;Haarlem (Holanda);1997-07-28
178;Alberto Abalde Díaz;ESP;Ferrol;1995-12-15
179;Sergi Vidal Plana;ESP;Badalona (Barcelona);1981-04-09
180;Alberto Miralles Berge;ESP;Barcelona;1982-05-14
181;Luka Bogdanovic;SRB;Belgrado;1985-02-11
182;Miquel Servera Rodríguez;ESP;Palma de Mallorca;1992-07-14
183;Stevan Jelovac;SRB;Novi Sad;1989-07-08
184;Filip Kraljevic;HRV;Mostar (Bosnia);1989-12-13
185;Henk Norel;NLD;Amsterdam;1987-09-17
186;Simon Pursl;CZE;Praga;1997-01-29
187;Andreu Casadevall Guinart;ESP;Sta-Coloma Gramanet;
188;Stephen Jeffrey Carino Holt;USA;Portland;1991-12-06
189;Isaac Mana Mei Langi Finau Fotu;GBR;York;1993-12-18
190;Martynas Gecevicius;LTU;Vilnius;1988-05-16
191;Robin Clemens Benzing;DEU;Seeheim-Jugenheim;1989-01-25
192;Jonathan Barreiro Rodríguez;ESP;Cerceda (La Coruna);1997-01-16
193;Sergi García Calvo;ESP;Palma de Mallorca;1997-02-17
194;Tomás Bellas García;ESP;Madrid;1987-06-24
195;John Bryant;USA;Berkeley (California, EE.UU.);1987-06-13
196;Pedro Martínez Sánchez;ESP;Barcelona;
197;Guillem Vives Torrent;ESP;Barcelona;1993-06-16
198;Bojan Dubljevic;MNE;Niksic (Montenegro);1991-10-24
199;Vladimir Jankovic;GRC;Belgrado (Serbia);1990-03-03
200;Lucas Clayton Sikma;USA;Bellevue, Washington;1989-07-30
201;Antoine Camille Diot;FRA;Bourg en Bresse (Francia);1989-01-17
202;Rafael Martínez Aguilera;ESP;Santpedor (Barcelona);1982-03-03
203;William Benson Thomas;GEO;Baltimore, Maryland (EE.UU.);1986-07-01
204;Romain Lebel Gessagba Sato;CAF;Bangui;1981-03-02
205;Fernando San Emeterio Lara;ESP;Santander;1984-01-01
206;Pierre David Oriola Garriga;ESP;Tárrega;1992-09-25
207;Sam Tom Bert Van Rossom;BEL;Gante;1986-06-03
208;Juan Penarroya Rodríguez;ESP;Terrassa (Barcelona);
209;Guillem Colom Barrufet;AND;Andorra La Vella;1991-09-16
210;David Walker;USA;Stow (Ohio, EE.UU.);1993-11-24
211;David Jelínek;CZE;Brno;1990-09-07
212;Andrew Albicy;FRA;Sévres;1990-03-21
213;Oliver Stevic;SRB;Belgrado;1984-01-18
214;Hugo  Schneider Bartolomé;ESP;Caen (Francia);1998-04-04
215;Thomas Schreiner;AUT;St-Polten (Austria);1987-02-03
216;Giorgi Shermadini;GEO;Mtskheta;1989-04-02
217;Beka Burjanadze;GEO;Tiblisi;1994-01-03
218;David Navarro Brugal;ESP;Esparreguera (Barcelona);1983-05-17
219;Thanasis Antetokounmpo;GRC;Atenas;1992-07-17
220;José Ignacio Martín Monzón;ESP;Valladolid;1983-04-22
222;Joshua Emmanuel Akognon;NGA;Greenbrae (California);1986-02-10
223;Julen Olaizola González;ESP;San Sebastián;1993-03-04
224;Nemanja Radovic;MNE;Berane;1991-11-11
225;Hamady Barro Ndiaye;SEN;Dakar;1987-01-12
226;José Ignacio Nogués Jarne;ESP;Barcelona;1995-07-27
227;David Cuéllar García;ESP;;1997-09-08
228;Jordan Djounorou Sakho;COD;Kinshasa (República del Congo);1997-04-04
229;Adnan Omeragic Alic;ESP;San Cristóbal de La Laguna;1996-08-19
230;Juan Castro Lombos;ESP;;1998-06-21
231;Tyrese Jammal Rice;MNE;Richmond (Virginia);1987-05-15
232;Juan Carlos Navarro Feijoo;ESP;Sant Feliu Llobregat;1980-06-13
233;Joan Sastre Morro;ESP;Mallorca;1991-12-10
234;Deividas Dulkys;LTU;Silute;1988-03-21
235;Nikola Maric;BIH;Trebinje;1998-12-19
236;Nil Bria Méndez;ESP;Navas;1997-03-14
237;Pau Ribas Tossas;ESP;Barcelona;1987-03-02
238;Wesley Alexandre Sena Da Silva;BRA;Campinas (Brasil);1996-05-02
239;Marc  Garcia Antonell;ESP;Manresa;1996-03-07
240;Alejandro Suárez Castro;ESP;Mahón;1993-09-27
241;Ignacio Llovet Camp;ESP;Barcelona;1991-05-09
242;Carl English;CAN;St-John's;1981-02-02
243;Sergio Antonio Llorente Paz;ESP;Madrid;1990-09-13
244;Carlos Alocén Arrondo;ESP;Zaragoza;2000-12-30
245;Viacheslav Kravtsov;UKR;Odesa;1987-08-25
246;Xavier Rey Sanuy;ESP;Barcelona;1987-07-13
247;Víctor Moreno Martín;ESP;Alcorcón;1998-01-26
248;Petteri Johannes Koponen;FIN;Helsinki;1988-04-13
249;Rodrigue Beaubois;FRA;Pointe-a-Pitre (Guadalupe);1988-02-24
250;Lonniel Brion Rush;USA;Shreveport (Louisiana);1984-11-15
251;Xabier López-Arostegui Eskauriaza;ESP;Vizcaya;1997-05-19
252;Sergi Martínez Costa;ESP;Barcelona;1999-05-10
253;Chase Andrew Budinger;USA;Encinitas (California, EE.UU.);1988-05-22
254;David Jofresa Sarret;ESP;Barcelona;1995-09-24
255;Luka Rupnik;SVN;Ljubljana (Eslovenia);1993-05-20
256;Jerome Adolphus Jordan;JAM;Kingston;1986-09-29
257;Howard Samuel Thompkins III;USA;Lithonia (EE.UU.);1990-05-29
258;Jonathan Alexander Holmes;USA;San Antonio (Texas, EE.UU.);1992-12-09
259;Emil Savic;HRV;Zagreb (Croacia);1998-03-26
260;Adas Juskevicius;LTU;Kaunas;1989-01-03
261;Willy Isiani;GEO;Tblisi;1997-08-11
262;Andrzej Mateusz Pluta;POL;Ruda Slaska (Polonia);2000-06-03
263;Bartlomiej Jordan Pietras;POL;Wloclawek;1998-02-20
264;Gregory Alexander Renfroe;BIH;Savannah (Georgia, EEUU);1986-05-23
265;Josep Puerto Guaita;ESP;Almussafes;1999-03-08
266;Ryan Kenwood Hollins;USA;Pasadena (California);1984-10-10
267;Rasid  Mahalbasic;AUT;Jesenice (Eslovenia);1990-11-07
268;Taqwa Sharmar Pinero;USA;Red Bank (New Jersey);1983-08-06
269;José Miguel Urtasun Uriz;ESP;Pamplona;1984-04-30
270;Michael Scott Machado;USA;New York;1990-06-08
271;Igor Zaytsev;UKR;Dnipropetrovsk;1989-05-11
272;Terry James Smith;USA;Syracuse;1986-02-10
273;Pablo Prigioni;ESP;Río Tercero;1977-05-17
274;Vasilije Vucetic;SRB;Vrbas (Serbia);1996-05-04
275;Kevin Tumba;BEL;Lubumbashi (R-D-Congo);1991-02-23
276;Alen Omic;SVN;Tuzla;1992-05-06
277;Fotios Katsikaris;GRC;Korydallos;
278;Pol Molins Calderón;ESP;;1999-02-04
279;Nicolás Laprovittola;ITA;Morón, Argentina;1990-01-31
280;Rafael Hettsheimeir;ESP;Sao Paulo;1986-06-16
281;Xavier Tyler-Jerome Munford;USA;New Jersey;1992-06-01
282;Ondrej Balvin;CZE;Usti nad Labem;1992-09-20
283;Tariq Kinte Kirksay;FRA;Bronx (New York);1979-09-07
284;Christopher Czerapowicz;SWE;Kortedala;1991-09-15
