id;név;nemzetiség;születési hely;születési idő
421;Leo Cizmic;HRV;Afula (Israel);1998-12-17
422;Jack Ryan Cooley;USA;Illinois (Estados Unidos);1991-04-04
423;Mirza Begic;SVN;Bijeljina (Bosnia Herzegovina);1985-07-09
424;Maurice Daly Ndour;SEN;Sindia (Senegal);1992-06-18
425;Marcus Tyrone Landry;USA;Milwaukee, Wisconsin;1985-11-01
426;Danny Akintunde Agbelese;NGA;Washington (EE.UU.);1990-04-14
427;Etinosa Erevbenagie Johnbull;NGA;Ciudad de Benín;1995-05-16
428;Pablo Suárez Custodio;ESP;;1999-10-04
429;Kelvin Creswell Rivers;USA;Charlotte;1987-03-01
430;DeMarcus De'Juan Nelson;SRB;Oakland, California;1985-11-02
431;Joaquín Portugués García;ESP;Santa Cruz de Tenerife;1995-09-21
432;Jordan Tyler Swing;USA;Vestavia Hills (Alabama);1990-12-31
433;Milos Milisavljevic;SRB;Backa Topola;1993-09-07
434;Nikola Cirkovic;SRB;Belgrado;1997-06-02
435;Alberto Lorenzo Calvo;ESP;Madrid;1970-01-03
436;Morayoninuoluwa Chukwemeka Soluade;GBR;Londres;1995-07-12
437;Milovan Rakovic;SRB;Uzice;1985-02-19
438;Sergio Valdeolmillos Moreno;ESP;Granada;
439;Daniel de la Rúa de Agustín;ESP;Guadalajara;1997-01-30
440;Marc Martí Roig;ESP;Lleida;1997-06-19
441;Pavel Pumprla;CZE;Zabreh;1986-06-13
442;Davis Bertans;LVA;Valmiera (Letonia);1992-11-12
443;Tautvydas Julius Slezas;LTU;Kaunas;1990-03-31
444;Deng Mayot Mabior;SSD;Juba;1997-04-15
445;Adria Duch Beltrán;ESP;;1995-03-28
446;Diamon Simpson;USA;Los Angeles;1987-09-08
447;Je'kel Reshar Foster;USA;Natchez (Mississippi, EE.UU.);1983-07-22
448;Álvaro Miguel Sanz Barrio;ESP;Zaragoza;1998-09-29
449;Kenneth Sherrod Hayes;USA;Dayton (Ohio, EE.UU.);1987-04-16
450;Miguel Martínez Hernández;ESP;;1995-08-22
451;Marko Todorovic;MNE;Podgorica;1992-04-19
452;Verners Edgards Kohs;LVA;Ventspils;1997-05-21
453;Evgenii Kolesnikov;RUS;Taraz, Kazajistán;1985-12-26
454;Daniel Pérez Otero;ESP;L'Hospitalet de Llobregat;1990-02-28
455;Yanick Pires Moreira;AGO;Luanda;1991-07-31
456;Nemanja Jaramaz;SRB;Niksic;1991-07-10
457;Urko Otegui Esnaola;ESP;San Sebastián;1981-08-11
458;Gaizka Maiza Apecechea;ESP;Ibarra, San Sebastián;1996-06-14
459;Levon Maxwell Simon Kendall;IRL;Vancouver (Canadá);1984-07-04
460;Djordje Gagic;SRB;Benkovac;1990-12-28
461;Konstantinos Vasileiadis;GRC;Salónica;1984-03-15
462;Leonardo Demetrio;BRA;Curitiba (Brasil);1994-03-24
463;Travis James Peterson;USA;Glendale;1985-05-18
464;Michaell Brandon Roll;TUN;Aliso Viejo (California);1987-04-12
465;Raul Togni Neto;ITA;Belo Horizonte;1992-05-19
466;Kresimir Loncar;HRV;Split;1983-02-12
467;Dwight Buycks;USA;Milwaukee (Wisconsin);1989-03-06
468;Luke Cameron Harangody;USA;Decatur, Illinois (EE.UU.);1988-01-02
469;Audie James Norris;USA;Jackson (Mississippi, EE.UU.);
470;Kristaps Porzingis;LVA;Ventspils, Letonia;1995-08-02
471;Xavier Raynard Thames;USA;Sacramento;1991-01-09
472;Jacob Everse Pullen;GEO;Marywood (Illinois);1989-09-10
473;Derrick JaVaughn Byars;CIV;Memphis;1984-04-25
474;Diego Gallardo Baltasar;ESP;Dos Hermanas;1996-02-06
475;Levi Ryan Rost;USA;Lansing (Michigan);1983-03-18
476;Mihalis Tsairelis;GRC;Salónica;1988-02-23
477;Fotios Lampropoulos;GRC;Patras;1983-09-11
478;Jaime Heras Díaz;ESP;Santa Cruz de Tenerife;1982-03-13
479;Albert Fontet Aparicio;ESP;Alcanar (Tarragona);1986-03-16
480;Rasko Katic;SRB;Kragujevac;1980-12-08
481;Kevin John Lisch;ITA;Belleville (Illinois);1986-05-16
482;Jason Michael Robinson;USA;Tacoma;1980-08-12
483;Christopher James Goulding;GBR;Launceston, Tasmania;1988-10-24
484;James William Nunnally;USA;San Jose (California, EE.UU.);1990-07-14
485;Ander Martínez de la Orden;ESP;Madrid;1995-06-27
486;Josep Ortega Rubio;ESP;Vic (Barcelona);1984-04-06
487;Josep Franch de Pablo;ESP;Badalona;1991-01-28
488;Goran Huskic;SRB;Belgrado;1992-03-26
489;Jared Ahern Jordan;USA;Hartford (Estados Unidos);1984-10-14
490;Ioann Iarochevitch;BEL;Ixelles;1989-05-31
491;Salah Mejri;TUN;Jendouba;1986-06-15
492;DaJuan Michael Summers;USA;Baltimore (EE.UU.);1988-01-24
493;Walter Samuel Tavares Da Veiga;CPV;Maio (Cabo Verde);1992-03-22
494;Fabio David Santana Rosales;ESP;Las Palmas;1992-06-09
495;Haralampos Giannopoulos;GRC;Alexandreia Imathias;1989-07-13
496;Maximilian Kleber;DEU;Würzburg;1992-01-29
497;Daniel Clayton Miller;USA;Loganvile (Georgia);1991-07-01
498;Keaton Richard Nankivil;USA;Madison (Wisconsin);1989-01-18
499;Michael Horus Nathan Hall;IRL;Chicago;1984-06-05
500;Benjamin David Dewar;FRA;Royal Oak (Michigan);1981-08-30
501;Nil Angelats Regincós;ESP;Girona;1993-06-13
502;Jamar Samuels;USA;Washington D.C.;1989-05-25
503;Joan Carles Bivia Munoz;ESP;Alginet;1985-06-23
504;Dimitris Haritopoulos;GRC;Alexandria;1983-11-14
505;Roger Grimau Gragera;ESP;Barcelona;1978-07-14
506;Andrew James Ogilvy;IRL;Sidney (Australia);1988-06-17
507;Marcelo Tieppo Huertas;ITA;Sao Paulo;1983-05-25
508;Maciej Boleslaw Lampe;POL;Lodz (Polonia);1985-02-05
509;DeShaun Leroy Thomas;USA;Fort Wayne, Indiana;1991-08-29
510;Mario Hezonja;HRV;Dubrovnik;1995-02-25
511;Tibor Pleiss;DEU;Bergisch Gladbach (Alemania);1989-11-02
512;Doron Marquis Perkins;CIV;Anchorage (Alaska, EE.UU.);1983-05-06
513;Colton Miller Iverson;GNB;Aberdeen (Dakota del Sur);1989-06-29
514;Thomas Heurtel;FRA;Béziers (Francia);1989-04-10
515;Ryan Anthony Gomes;CPV;Waterbury, Connecticut;1982-09-01
516;Orlando Vincent Johnson;USA;Monterrey, California;1989-03-11
517;Marco Crespi;ITA;Varese (Italia);
518;Ryan Toolson;USA;Gilbert (Arizona);1985-03-21
519;Caleb Eugene Green;USA;Tulsa;1985-07-10
520;Vladimir Golubovic;MNE;Novi Sad;1986-02-24
521;Jayson Antonie Granger Amodio;ITA;Montevideo;1989-09-15
522;Maodo Malick Nguirane;SEN;Yeumbeul;1993-11-10
523;Marc Blanch Espinal;ESP;Barcelona;1982-01-12
524;Román Eduardo Martínez;USA;El Paso (Texas);1988-03-05
525;Kaloyan Toshkov Ivanov;BGR;Varna;1986-03-18
526;Shaun Anthony Green;USA;Salt Lake City;1987-06-12
527;Danilo Andjusic;SRB;Belgrado;1991-04-22
528;Latavious Williams;USA;Starkville;1989-03-29
529;Joaquín Colom Barrufet;ESP;Andorra La Vella;1988-11-01
530;Javier Vega Merayo;ESP;Madrid;1988-01-05
531;Andrés Miso Molina;ESP;Madrid;1983-01-07
532;Emmanouil Papamakarios;GRC;Atenas;1980-08-26
533;Andrew John Panko III;USA;Harrisburg, Pennsylvania;1977-11-29
534;Jimmy Baron;USA;East Greenwich (Rhode Island);1986-05-23
535;Jeleel Ayodeji Akindele;NGA;Ogun;1983-04-02
536;Dewayne White Jr.;USA;Tuscaloosa (Alabama, EEUU);1986-08-31
537;Anthony Dane Watts;CIV;Kansas City;1986-04-20
538;Nicholas James Spires;SWE;Tunbridge Wells;1994-02-25
539;Federico Martín Van Lacke Falco;ESP;Santa Fe;1980-06-26
540;Zeljko Sakic;HRV;Zagreb (Croacia);1988-04-14
541;Hasan Rizvic;SVN;Zenica;1984-01-18
542;Roger Lliteras Riera;AND;Andorra La Vella;1996-02-04
543;Ethan Donald Wragge;USA;Eden Prairie (Minnesota, EE.UU.);1990-10-01
544;Pablo Pérez Garrido;ESP;Cuenca;1997-02-27
545;Boubacar Moungoro;MLI;Guediawaye;1994-09-22
546;Lamont Alexander Hamilton;USA;Nueva York;1984-04-06
547;Sebastian Bacale Mbansogo Obiang;GNQ;;1995-03-31
548;Aleksander Vujacic;SVN;Maribor;1984-03-08
549;Volodymyr Orlov;UKR;Kharkov (Ucrania);1995-06-17
550;Andrés Guillermo Rodríguez Fernández;DOM;San Juan;1981-02-27
551;Mouhamed Barro;SEN;Pikine (Senegal);1995-05-10
552;Marcus Anthony Slaughter;USA;San Leandro (California);1985-03-18
553;Benjamin Michael Woodside;USA;Albert Lea, Minnesota;1985-07-01
554;Juan Llorente Paz;ESP;;1993-07-16
555;Eric Martínez Vila;ESP;Girona;1998-05-15
556;Steven P Burtt;UKR;New York;1984-03-07
557;Óscar Miguel Alvarado Rodríguez;ESP;Las Palmas;1991-06-06
559;Pietro Aradori;ITA;Brescia;1988-12-09
560;Nathan Leon Jawai;GNB;Sidney;1986-10-10
561;Rafael Huertas Navajas;ESP;Málaga;1984-08-02
562;Benjamin Lee Hansbrough;USA;Poplar Bluff (Missouri);1987-12-23
563;Hugo López Munoz;ESP;Valladolid;1975-07-29
564;David Guardia Ramos;ESP;Valencia;1990-03-14
565;Alberto Cabrera Garrancho;ESP;;1998-10-05
566;Kirk Samuel Penney;NZL;Millford;1980-10-23
567;Gerald Raymond Lee;FIN;Uusikaupunki (Finlandia);1987-11-23
568;Giuseppe Poeta;ITA;Battipaglia;1985-09-12
569;Branko Cvetkovic;SRB;Gracanica;1984-03-05
570;Joshua Andrew Mayo;USA;Merrillville (Indiana, EE.UU.);1987-07-15
571;Mario Deantwan Little;USA;Chicago, Illinois;1987-12-29
572;Vilmantas Dilys;LTU;Utena;1987-10-06
573;Carlos Martínez Pardo;ESP;A Coruna;1996-01-19
574;Joan Creus Custodio;ESP;Granollers;1992-01-11
575;Jesús Sala Naranjo;ESP;Madrid;1977-04-09
576;Thomas Iain Abercrombie;NZL;Takapuna;1987-07-05
577;Haukur Helgi Briem Palsson;ISL;Reikiavik;1992-05-18
578;Maksim Salash;BLR;Minsk;1996-05-06
579;Brian Scott Hopson;USA;Hopkinsville, Kentucky;1989-08-08
580;Luca Vitali;ITA;Bolonia (Italia);1986-05-09
581;Sergio Rodríguez Febles;ESP;Los Realejos;1993-10-18
582;Rasmus Glarbjerg Larsen;DNK;Rudersdal (Dinamarca);1994-11-25
583;Darryl Monroe;USA;Portsmouth;1986-01-30
584;Johan Bitjaa Kody;CMR;Yaoundé (Camerún);1993-04-03
585;Oliver Arteaga Padrón;ESP;El Hierro (Canarias);1983-01-04
586;Borja Comenge Monclús;ESP;Huesca;1978-10-16
587;Max Martial Kouguere;COG;Brazzaville;1987-03-12
588;Dominic Wayne Waters;USA;Portland;1986-09-28
589;Nikolas Mas Valdez Cochran;GBR;Vancouver;1988-05-06
590;Joonas Ilmari Caven;FIN;Nokia;1993-01-09
591;David Devoe Joseph;CAN;Toronto;1989-06-21
592;Konstantinos Papanikolaou;GRC;Trikala;1990-07-30
593;Larry Abia Sila;ESP;Valencia;1993-08-08
594;Jon Cortaberría Eguiluz;ESP;San Sebastián;1982-05-20
595;Anthony David Winchester;USA;Seymour (Indiana);1983-05-15
596;Charles Allen Ramsdell;MDG;Tulsa (Oklahoma);1985-01-13
597;Marcos Daniel Mata;ITA;Mar de Plata;1986-08-01
598;Luis Conde González;ESP;Málaga;1993-02-17
599;Zoran Dragic;SVN;Ljubljana;1989-06-22
600;Domantas Sabonis;LTU;Portland;1996-05-03
601;Earl Gerard Calloway;BGR;Atlanta;1983-09-30
602;Niklas Anton Caner-Medley;AZE;Beverly (Massachusetts);1983-10-20
603;Lucas Riva Amarante Nogueira;ESP;Rio de Janeiro;1992-07-26
604;Marko Banic;HRV;Zadar;1984-08-31
605;Dejan Toshkov Ivanov;BGR;Varna;1986-03-18
606;Nikola Mirotic;ESP;Podgorica (Montenegro);1991-02-11
607;Tremmell Lequincy Dushun Darden;USA;Inglewood, California;1981-12-17
608;Ricard Casas Gurt;ESP;Manresa (Barcelona);
609;Omari Khakfani Johnson;JAM;Kingston;1989-11-26
610;Akeem Wright;USA;Philadelphia;1984-11-01
611;Hördur Axel Vilhjálmsson;ISL;Reykjavik (Islandia);1988-12-18
612;Marcos Suka-Umu Martín;ESP;Madrid;1985-07-06
613;Antonio Alejandro Porta Pernigotti;ITA;Firmat (Argentina);1983-10-28
614;Panagiotis Vasilopoulos;GRC;Marousi;1984-02-08
615;Nedzad Sinanovic;ESP;Zavidovici;1983-01-29
616;Antonio Izquierdo Blanco;ESP;Valladolid;1993-04-13
617;Luther Head;USA;Chicago;1982-11-26
618;Iván Martínez Munumer;ESP;Valladolid;1990-03-02
619;Devon Doekele Van Oostrum;GBR;Groningen, Países Bajos;1993-01-24
620;Sergio Scariolo;ITA;Brescia (Italia);
621;Walter Hodge;PRI;Guaynabo;1986-09-21
623;Anaterve Cruz Espinosa;ESP;Las Palmas de Gran Canaria;1986-05-11
624;Dwayne Jerome Davis;USA;Philadelphia;1989-11-27
625;Ehimen Orukpe;NGA;Lagos;1989-02-12
626;Carlos Toledo Zamora;ESP;Cartagena;1994-12-11
627;Makrem Ben Romdhane;TUN;Sousse;1989-03-27
628;Jesús Alfonso Mateo Díez;ESP;Madrid;
629;Marcus Arnold;USA;Chicago;1984-01-28
630;James Earl Feldeine Padilla;DOM;New York;1988-06-26
631;Mareks Mejeris;LVA;Liepaja;1991-09-02
632;Adrián Laso González;ESP;Palencia;1990-06-05
633;Sergio Sánchez Pérez;ESP;Bilbao, Espana;1984-12-27
634;Jackie Ray Carmichael;USA;Manhattan (Kansas);1990-01-02
635;Fran Pilepic;HRV;Rijeka, Croacia;1989-05-05
636;Rafael Pueyo Mena;ESP;Bilbao;1971-08-11
637;Antanas Kavaliauskas;LTU;Vilnius;1984-09-19
638;Mamadou Samb;ESP;Dakar;1989-12-31
639;José Luis Abós García;ESP;Zaragoza;
640;Viktor Sanikidze;GEO;Tbilisi;1986-04-01
641;Javier Marín Ayerbe;ESP;Zaragoza;1994-04-12
642;Damjan Rudez;HRV;Zagreb;1986-06-17
643;Diego Fajardo Ocón;ESP;Santa Cruz de Tenerife;1976-02-11
644;Juan Pedro Gutiérrez Lanas;ESP;Buenos Aires;1983-10-10
645;Inaki Sanz Satrústegui;ESP;Navarra;1984-08-09
646;Michael Peter Muscala;USA;Minnesota;1991-07-01
647;Vasileios Xanthopoulos;GRC;Marousi;1984-04-29
648;Josep Oriol Junyent Monuera;ESP;Sabadell (Barcelona);1976-07-01
649;Durand Scott;JAM;Nueva York;1990-02-22
650;Mario Delas;HRV;Split;1990-01-16
651;Miguel Ángel García Stobart;ESP;Palma de Mallorca, Mallorca;1985-03-22
652;Nicolas Lake Scott Minnerath;USA;Wyoming;1989-08-11
653;Joshua Joseph Asselin;DOM;Caro (Michigan);1978-12-24
654;Mindaugas Lukauskis;LTU;Panevezys;1979-05-19
655;Guillermo Corrales Martín;ESP;Madrid;1995-06-13
656;Xavier Assalit;ESP;Barcelona;1995-06-09
657;Rimantas Kaukenas;LTU;Vilnius;1977-04-11
658;Leonardo Andrés Mainoldi;ITA;Canada de Gómez;1985-03-04
659;Guillermo Rubio Vergara;ESP;Terrassa (Barcelona);1982-10-14
660;Milko Bjelica;MNE;Belgrado (Serbia);1984-06-04
661;Antonio Tirado Crespo;ESP;Castellón de la Plana;1992-06-08
662;Juan Toledo Zamora;ESP;;1996-03-26
663;Jason Rowe;USA;Buffalo (New York);1978-06-16
664;Sergio Sánchez Cárdenas;ESP;La Línea de la Concepción;1981-03-01
665;Oleksiy Pecherov;UKR;Donetsk (Ucrania);1985-12-08
666;Eloy Antonio Camacho Vargas;DOM;Moca (República Dominicana);1988-12-30
667;James Andrew Viney;USA;Villa Park, California;1988-09-17
668;Damir Markota;SWE;Sarajevo (Bosnia);1985-12-26
669;Joan Pardina Molina;ESP;Barcelona;1993-11-18
670;Erazem Lorbek;SVN;Liubliana;1984-02-21
671;Madiop Ndiaye;SEN;Diourbel;1995-12-28
672;Nikola Cvetinovic;SRB;Loznica (Serbia);1988-12-19
673;Sasa Borovnjak;SRB;Belgrado (Serbia);1989-07-30
674;Melvin Ray Sanders;USA;Pine Bluff (Arkansas);1981-01-03
675;Lubos Barton;CZE;Ceska Lipa;1980-04-07
676;Laszlo Gabor Dobos;HUN;Budapest;1993-12-01
677;Iika Tapio Maki;FIN;Helsinki;1994-02-08
678;Fenton Pete Mickeal;USA;Rock Island (Illinois);1978-02-22
679;Marko Ljubicic;SRB;Novi Sad (Serbia);1987-07-23
680;Marcelo Patricio Nicola Virginio;ESP;Rafaela;1971-05-12
681;Vernon Athelson Goodridge;BRB;New York;1984-02-18
682;Djordje Drenovac;SRB;Belgrado;1992-08-09
683;Jonathan Arranz Pardo;ESP;Valladolid;1994-12-07
684;Lazaros Papadopoulos;GRC;Krasnodar (Rusia);1980-06-03
685;Ksystof Lavrinovic;LTU;Vilna (Lituania);1979-11-01
686;Kaspars Berzins;LVA;Ogre;1985-08-25
687;Lamar Joseph Odom;USA;Nueva York;1979-11-06
688;Juan Ballesta Vinas;ESP;Murcia;1992-12-27
689;Albert Homs Aguilar;ESP;Mataró;1994-05-23
690;Pablo José Sánchez Rodríguez;ESP;Murcia;1993-12-10
691;Armon Deshawn Johnson;USA;Reno;1989-02-23
692;Lamont Antwain Mack;USA;Chicago;1987-03-16
693;Daniel Michael Kickert;NLD;Melbourne;1983-05-29
694;Benjamin Joseph Mc Cauley;USA;West Newton, Pennsylvania;1986-09-06
695;Ricardo Guillén Mendoza;ESP;Santa Cruz de Tenerife;1976-06-17
696;Pere Romero Vicente;ESP;Manresa;
697;Héctor Daniel Manzano Alcaraz;ESP;Barcelona;1980-08-08
698;Jordi Clotet Matamala;ESP;;1996-11-04
699;Chinemelu Elonu;NGA;Enugu;1987-03-11
700;Demonico Lamont Barnes;USA;Lexington (Kentucky);1978-09-04
701;Joshua Lee Fisher Orange;ESP;Washington DC;1980-10-24
702;Jakim Nestakaya Donaldson;USA;Pittsburgh (Pennsylvania);1983-09-03
703;Adrián García Herepey-Csakanyi;ESP;Madrid;1985-02-02
704;Chad Lee Toppert;DEU;Albuquerque;1985-11-11
705;Eduardo Hernández-Sonseca Lorenzo;ESP;Madrid;1983-06-21
706;Nemanja Bjelica;SRB;Belgrado;1988-05-09
707;Taylor Campbell Rochestie;MNE;Houston, Estados Unidos;1985-07-01
708;Dusko Ivanovic;MNE;Bijelo Polje;
709;John Holland;USA;Bronx, New York;1988-11-06
710;Milenko Tepic;SRB;Novi Sad (Serbia);1987-02-27
711;Bradley Bond Buckman;USA;Austin (Texas);1984-01-11
712;Brian Keith Asbury;GNQ;Miami, Florida;1986-10-01
713;Juan Ignacio Jasen Ciccarelli;ESP;Bahía Blanca;1985-10-10
714;Marcus Dwain Lewis;USA;Long Beach (California);1986-08-05
715;Matthew Hadley Gatens;USA;Iowa City;1989-06-13
716;Marko Keselj;SRB;Belgrado;1988-01-02
717;Florent Marius Pietrus;FRA;Les Abymes (Guadalupe);1981-01-19
718;Charles Wayne García;BLZ;Los Ángeles (California);1988-10-13
719;Mouhamed Saer Sené;SEN;Pikine (Senegal);1986-05-12
720;Álvaro Munoz Borchers;ESP;Ávila;1990-11-25
721;Sergii Gladyr;UKR;Mykolaiv;1988-10-17
722;Bernard Anthony Hopkins White;ESP;Baltimore, Maryland;1973-01-13
723;William Terrell Buford;USA;Toledo (Ohio);1990-01-10
725;Javier Rodríguez Pérez;ESP;Porrino (Pontevedra);1979-04-22
726;Aleksander Yanev Georgiev;BGR;Varna;1990-01-20
727;Jonathan James Scheyer;ISR;Northbrook (Illinois);1987-08-24
728;Paulo Sergio Prestes;ESP;Monte Aprazivel (Sao Paulo);1988-02-15
729;Samuel Domínguez Guerra;ESP;Las Palmas de Gran Canaria;1991-02-14
730;Roberto Guerra Santana;ESP;Las Palmas de Gran Canaria;1983-04-04
731;Spencer Howells Nelson;AZE;Pocatello (Idaho);1980-07-11
732;Adrien Moerman;FRA;Fontenay-aux-Roses;1988-08-17
733;Nikolaos Zisis;GRC;Salónica;1983-08-16
734;Charles Judson Wallace;COG;Atlanta;1982-12-31
735;Joseph Howart Ingles;GBR;Happy Valley;1987-10-02
736;Roberto González Presas;ESP;Carpio del Campo (Valladolid);
737;Alhaji Mohammed;GHA;Accra;1981-10-29
738;Eduardo Ruiz Campuzano;ESP;Las Presillas (Cantabria);1983-08-20
739;Uros Tripkovic;SRB;Cacak;1986-09-11
740;Vytenis Cizauskas;LTU;Kaisiadoriu;1992-09-16
741;Jasmin Repesa;HRV;Capljina;
742;James Clough Gist III;USA;Adana (Turquía);1986-10-26
743;Kosta Perovic;SRB;Osijek;1985-02-19
744;Marcus Darrell Williams;USA;Los Ángeles;1985-12-03
745;Carlos Jiménez Sánchez;ESP;Madrid;1976-02-10
746;Krunoslav Simon;HRV;Zagreb;1985-06-24
747;Ognjen Kuzmic;BIH;Doboj;1990-05-16
748;Emmanuel Amaurys Quezada Martínez;DOM;Nueva York;1985-04-13
749;Anthony Joseph Gaffney;USA;Boston;1984-11-14
750;Moses Ehambe;COD;Arlington (Texas);1986-05-22
751;Ekenechuckwu Brian Ibekwe;NGA;Los Angeles;1985-07-19
752;Yaroslav Korolev;RUS;Moscú (Rusia);1987-05-07
753;Qyntel Deon Woods;USA;Memphis (Tennessee);1981-02-16
755;Anthonie Guy Fisher;GEO;Bronx (Nueva York);1988-04-08
756;Sarunas Jasikevicius;LTU;Kaunas;1976-03-05
757;Juan Luis Navarro Cordones;ESP;Valencia;1991-02-12
758;Rihards Kuksiks;LVA;Riga (Letonia);1988-07-17
759;Xavier Ríos Arceo;ESP;Santa Cruz de Tenerife;1995-03-13
760;Javier Aguilera Ardilla;ESP;La Laguna;1995-05-15
761;Adrián Méndez Carrión;ESP;Murcia;1993-11-24
762;Robert Lorenzo Dozier;USA;Lithona (Georgia, EE.UU.);1985-11-26
763;Christopher James Quinn;USA;New Orleans;1983-09-27
764;Robert John Hummel;USA;Valparaiso;1989-03-08
765;Joseph Alexander Ragland;LBR;West Springfield (Massachusetts);1989-11-11
766;Jermaine Cassadaryl Taylor;USA;Tavares (Florida);1986-12-08
767;Trifón Poch López;ESP;Córdoba;
768;Igor Lutersek;MNE;Sarajevo;1989-06-10
769;Unai Calbarro Carbajo;ESP;Bilbao;1989-07-04
770;Joffrey Lauvergne;FRA;Mulhouse (Francia);1991-09-30
771;Kristaps Valters;LVA;Riga;1981-09-18
772;Roderick Bertrand Blakney;BGR;Hartsville;1976-08-06
773;Mickaël Gélabale;FRA;Pointe Noire, Guadalupe;1983-05-22
774;Marcos Portalez Mur;ESP;Zaragoza;1995-04-15
775;Robert Karl Kurz;USA;Lower Gwynedd (Pensilvania);1985-03-05
776;Edgar Rafael Sosa;DOM;Manhattan (New York);1988-01-15
777;Patrick Aloysius Ewing;JAM;Massachusetts;1984-05-20
778;Mamadi Melameka Diane;GIN;Columbia (EE.UU.);1986-09-01
779;Morris O'Neal Finley;USA;Opelika (Alabama);1981-08-02
780;Nana Papa Yaw Dwene Mensah-Bonsu;GBR;Londres;1983-09-07
781;Nemanja Aleksandrov;SRB;Belgrado;1987-04-10
782;Guillem Pla Escriva;ESP;Valencia;1991-01-23
783;Adam Grzegorz Hrycaniuk;POL;Mysliborz;1984-03-15
784;Christopher Iza Soler;ESP;;1995-04-28
785;Ryan Ashley Humphrey;USA;Tulsa (Estados Unidos);1979-06-24
786;Tarence Anthony Kinsey;USA;Tampa, Florida;1984-03-21
787;Tomas Kyzlink;CZE;Vyskov;1993-06-18
788;Papa Abdoulaye Mbaye;SEN;Yambeul;1990-06-13
789;José Adrián Báez Batista;ESP;;1993-10-24
790;Loukas Mavrokefalidis;GRC;Jeseník;1984-07-25
791;Chamberlain Emeka Oguchi;NGA;Houston (Texas, EE.UU.);1986-04-28
792;Luis Villar González;ESP;Santa Cruz de Tenerife;1995-04-11
793;Cedric Tremaine Simmons;BGR;Shallotte, Carolina del Norte;1986-01-03
794;Víctor Serrano Marivela;ESP;Soto del Real;1989-04-13
795;Yannick Driesen;BEL;Amberes;1988-11-02
796;Álvaro Lobo Herrero;ESP;Madrid;1992-04-04
797;José Vicente Hernández Fernández;ESP;Madrid;
798;Antoine Wright;USA;West Covina, California;1984-02-06
799;Luis Alberto Flores;DOM;San Pedro de Macorís (República Dominicana);1981-04-11
800;Eduardo Martínez Balmaseda;ESP;Logrono;1990-05-05
801;Francisco Olmos Hernández;ESP;Valencia;1970-07-10
802;Nando De Colo;FRA;Sainte-Catherine-les-Arras;1987-06-23
803;Sergio Olmos Pardo;ESP;Elda;1986-09-21
804;Jacob Burstchi;USA;Chickasha (Oklahoma);1984-05-21
805;Pablo Almazán Sierra;ESP;Granada;1989-01-15
806;Carl Bracey Arman Wright;USA;The Colony (Texas);1984-07-01
807;Robert Michael Archibald;GBR;Paisley (Escocia);1980-03-29
808;Dalibor Bagaric;DEU;Munich;1980-07-02
809;Hervé Tiecoura Touré;FRA;Lyon;1982-02-25
810;Isaac López Pérez;ESP;Granada;1978-08-25
811;Jhornan José Zamora Mota;ESP;Caracas;1989-01-30
812;Kahiem Jamel Seawright;USA;UnionDale (Nueva York), EE-UU.;1986-12-17
813;Txomin López Ansótegui;ESP;Burgos;1978-01-03
814;Michael Daniel Chukwuma Umeh;NGA;Houston (Texas);1984-04-18
815;Diego Damián García;ITA;San Cristóbal;1979-07-15
816;Stephane Louis Andre Dumas;FRA;Sanary;1978-09-14
817;Andrew Richard Betts;GBR;Ashby;1977-05-11
818;Lander Lasa Arruabarrena;ESP;Tolosa;1988-01-16
819;Peter Karoly Lorant;HUN;Budapest;1985-10-23
820;Andrew Kehinde Adeleke;NGA;Lagos;1983-02-10
821;Ebikekeme Hasain Fere Ere;NGA;Tulsa;1981-08-02
822;Yahn Ulrich Stephane Lasme;GAB;Port Gentil;1982-12-17
823;Deron Rachard Washington;DEU;Nueva Orleans (Luisiana, EE.UU.);1985-12-12
824;Javier Bulfoni;ITA;Santa Fe;1976-09-26
825;Mario Cabanas Fidalgo;ESP;A Coruna;1985-05-09
826;Milton Sigmund Palacio;BLZ;Los Angeles (California);1978-02-07
827;Richard Nguema Balboa;ESP;Madrid;1988-02-07
828;Jorge Garbajosa Chaparro;ESP;Torrejón de Ardoz (Madrid);1977-12-19
829;Gerald Fitch;USA;Columbus (Georgia);1982-08-12
830;Earl Jerrod Rowland;BGR;Frankfurt (Alemania);1983-05-18
831;Hrvoje Peric;HRV;Dubrovnik (Croacia);1985-10-25
832;Laurence Ekperigin;GBR;Nueva York (EEUU);1988-02-21
833;Marquez Haynes;GEO;Irving (Texas);1986-12-19
834;Michael Bramos;GRC;Harper Woods, Michigan;1987-05-27
835;Taurean Green;GEO;Boca Raton (Florida);1985-11-28
836;Juan Diego Tello Palacios;COL;Medellín (Colombia);1985-05-11
837;Reggie Williams;USA;Prince George;1986-09-14
838;Kevin Seraphin;FRA;Cayenne;1989-12-07
839;Mirza Teletovic;BIH;Mostar;1985-09-17
840;Paul Russell Davis;USA;Rochester (Michigan);1984-07-21
841;Hernán Emilio Jasen Cicarelli;ITA;Bahía Blanca;1978-02-04
842;Mohamed Debá Kone;FRA;Abidjan;1981-03-24
843;Kyle Edward Singler;USA;Medford;1988-05-04
844;Alberto Jódar Moya;ESP;Madrid;1991-02-07
845;Jeremy Hazell;USA;Nueva York (EE.UU.);1986-03-25
846;Mario Stojic;DEU;Mannheim;1980-05-06
